author,comment,likes,published_at
@sheikhkebirel,"İt is gonna be Super when it ll be watched in Cinema. From Baku,Azerbaijan. Rauf Abbasov Ağdamlı, 24 Yanvar saat 01:17-da yazdım bunu.🇦🇿",0,2026-01-23T21:17:46Z
@ChampionCoolGaming,John Cena will return in Avengers: Doomsday,1,2026-01-23T19:52:31Z
@chasingthemountain,"If there's RYAN RENOLDS, imma BOYCOTT this movie!!!!",1,2026-01-23T10:11:51Z
@topfacts4268,What has dr doom done in order to make THOR PRAY to all father thor for more power bruh,2,2026-01-23T06:36:11Z
@thuggin214,"Thor’s main plot ALL MCU has been his Daddy issues, why yall actin surprised that he’s praying to him??? A God praying to his Daddy who is also a God ain’t that crazy…",0,2026-01-23T06:01:21Z
@thuggin214,"Yall making a big deal about a God praying to his Daddy, WHO IS ALSO A GOD.",0,2026-01-23T05:59:40Z
@subhashd4362,Thor remove his beard and long hair 💀guys you know right 🗿,0,2026-01-23T05:53:16Z
@saraerencova,Loki x Thor ❤,0,2026-01-23T05:17:33Z
@saraerencova,Loki x Thor❤,0,2026-01-23T05:17:25Z
@stardust_779,Something tells me that Thor will be the end of Dr Doom,0,2026-01-23T05:13:56Z
@stardust_779,This time go for the head Thor,1,2026-01-23T05:13:05Z
@anuj28121989,"Sound of Thunder @0:35 sounds the danger that is incoming. Peace (Captain America), Strength (Thor), Will (X Men), And Hope (Black Panther & F4).. all to be erased on DOOMSDAY!!!",1,2026-01-23T04:13:50Z
@sergiom1136,"22nd January 2026
10 months and 25 days to Doomsday ⚡",1,2026-01-23T01:38:43Z
@thekrackbabii8273,Goddamn this is so epic,2,2026-01-22T22:40:34Z
@JonnyCached,A long step from the Thor Lebowski of Endgame.,0,2026-01-22T21:23:04Z
@vincesergi7339,I legit forgot he adopted a girl at the end of the last movie.,1,2026-01-22T20:10:25Z
@jeanperez1592,Alguien habla español?,0,2026-01-22T19:16:13Z
@Beasttrial,Now we'll see the actual lord of thunder,0,2026-01-22T17:40:50Z
@Sofire2410,I love when Chris gets to display his acting chops. I like jokey Thor but I LOVE serious Thor.,0,2026-01-22T13:55:30Z
@SSG.315,Peak peak peak,0,2026-01-22T13:19:13Z
@Joy-03a,@angelcampos1083 will return in avengers: doomsday,0,2026-01-22T08:42:20Z
@AnushkaKamble-10,The wait is worth it❤,0,2026-01-22T07:24:59Z
@ImranMewati976,We are definitely goin  to see Rune king thor 🗿,0,2026-01-22T07:01:14Z
@udiithnambiar9520,"Father Thor looks serious, he will kill anyone who stands in his way😍",0,2026-01-22T06:07:11Z
@arjun__9912,Who r watching today 💥💥😅😊???,1,2026-01-22T04:02:03Z
@sergiom1136,"21st January 2026
10 months and 26 days to Doomsday",1,2026-01-22T01:38:15Z
@Kseo93,man everyone's got a kid now,0,2026-01-21T22:41:23Z
@artLopez24,Just make him badass and stoic and not a walking comedy show please…they going against doom lol nobody should be joking around this movie,1,2026-01-21T22:31:03Z
@Hiteshgarshaniya99,Father of Gods 🤯,0,2026-01-21T22:19:15Z
@SalA.Gwingin,Is this AI 😢,0,2026-01-21T17:33:22Z
@RyanKent-v8f,Love you thor stay strong I believe in you son of oden brother of loki,0,2026-01-21T15:53:19Z
